grafana  | logger=migrator t=2025-05-19T16:50:40.752673505Z level=info msg="Locking database"
grafana  | logger=migrator t=2025-05-19T16:50:40.752699171Z level=info msg="Starting DB migrations"
grafana  | logger=migrator t=2025-05-19T16:50:40.75359288Z level=info msg="Executing migration" id="create migration_log table"
grafana  | logger=migrator t=2025-05-19T16:50:40.755089505Z level=info msg="Migration successfully executed" id="create migration_log table" duration=1.496459ms
grafana  | logger=migrator t=2025-05-19T16:50:40.757390421Z level=info msg="Executing migration" id="create user table"
grafana  | logger=migrator t=2025-05-19T16:50:40.757675838Z level=info msg="Migration successfully executed" id="create user table" duration=285.5µs
grafana  | logger=migrator t=2025-05-19T16:50:40.75899938Z level=info msg="Executing migration" id="add unique index user.login"
grafana  | logger=migrator t=2025-05-19T16:50:40.759241546Z level=info msg="Migration successfully executed" id="add unique index user.login" duration=242.125µs
grafana  | logger=migrator t=2025-05-19T16:50:40.76030088Z level=info msg="Executing migration" id="add unique index user.email"
grafana  | logger=migrator t=2025-05-19T16:50:40.760574588Z level=info msg="Migration successfully executed" id="add unique index user.email" duration=273.833µs
grafana  | logger=migrator t=2025-05-19T16:50:40.76285388Z level=info msg="Executing migration" id="drop index UQE_user_login - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.763141546Z level=info msg="Migration successfully executed" id="drop index UQE_user_login - v1" duration=287.917µs
grafana  | logger=migrator t=2025-05-19T16:50:40.764873421Z level=info msg="Executing migration" id="drop index UQE_user_email - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.765062671Z level=info msg="Migration successfully executed" id="drop index UQE_user_email - v1" duration=189.084µs
grafana  | logger=migrator t=2025-05-19T16:50:40.766091171Z level=info msg="Executing migration" id="Rename table user to user_v1 - v1"
grafana  | logger=migrator t=2025-05-19T16:50:40.768383588Z level=info msg="Migration successfully executed" id="Rename table user to user_v1 - v1" duration=2.291667ms
grafana  | logger=migrator t=2025-05-19T16:50:40.769893963Z level=info msg="Executing migration" id="create user table v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.770278588Z level=info msg="Migration successfully executed" id="create user table v2" duration=384.542µs
grafana  | logger=migrator t=2025-05-19T16:50:40.772736838Z level=info msg="Executing migration" id="create index UQE_user_login - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.773038755Z level=info msg="Migration successfully executed" id="create index UQE_user_login - v2" duration=302.084µs
grafana  | logger=migrator t=2025-05-19T16:50:40.776595796Z level=info msg="Executing migration" id="create index UQE_user_email - v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.77691138Z level=info msg="Migration successfully executed" id="create index UQE_user_email - v2" duration=316µs
grafana  | logger=migrator t=2025-05-19T16:50:40.77813938Z level=info msg="Executing migration" id="copy data_source v1 to v2"
grafana  | logger=migrator t=2025-05-19T16:50:40.77825663Z level=info msg="Migration successfully executed" id="copy data_source v1 to v2" duration=118.334µs
